8009_3#10 8009_3#4 8009_3#1 8009_3#11 8009_3#12 8009_3#2 8009_3#13 8009_3#3 8009_3#6 8009_3#9 8009_3#5 8009_3#8 8009_3#7
BPAG_0000021901-mRNA-1 2782 895 1397 1495 2758 1266 1574 957 1579 941 2287 2107 812
BPAG_0000022001-mRNA-1 1850 1174 2532 1616 1508 1146 1443 1300 2460 1149 3171 1623 1453
BPAG_0000022101-mRNA-1 748 365 867 667 599 462 503 392 959 459 1231 655 933
BPAG_0000022201-mRNA-1 2041 1029 2617 2188 2688 1387 1789 1457 3043 1898 2680 1434 1451
BPAG_0000022301-mRNA-1 1004 397 727 764 1342 585 680 397 1063 783 1042 705 380
BPAG_0000022501-mRNA-1 615 226 154 192 211 100 58 39 888 747 233 257 213
BPAG_0000022601-mRNA-1 1817 2524 7156 2506 2947 5112 1910 4480 6534 1502 9403 2943 1653
BPAG_0000022701-mRNA-1 34 95 173 42 44 142 58 132 175 60 440 131 129
BPAG_0000023001-mRNA-1 449 330 2455 758 9287 10395 1011 1511 1184 765 2923 1235 712
BPAG_0000023101-mRNA-1 1329 609 791 1012 1260 461 1620 798 524 356 286 134 235
BPAG_0000023201-mRNA-1 770 334 1979 1440 1470 879 1363 1224 2077 1119 2083 956 646
BPAG_0000023301-mRNA-1 6 5 21 13 13 4 19 7 330 225 6830 4418 3
BPAG_0000023401-mRNA-1 41 10 86 63 408 156 246 160 1340 841 3800 1821 16
BPAG_0000023501-mRNA-1 15 9 15 10 7 6 3 6 1545 888 333 104 6
BPAG_0000023601-mRNA-1 60 7 68 93 62 24 53 37 3905 2925 318 144 80
BPAG_0000023701-mRNA-1 2224 960 963 1320 1561 711 1007 618 2088 1585 1728 1267 1099
BPAG_0000023801-mRNA-1 1751 1426 2302 1143 1252 1491 904 1073 2480 825 6299 2701 3215
BPAG_0000024001-mRNA-1 2415 1249 6533 3707 6375 4403 3549 3113 7030 3758 4682 2567 2463
BPAG_0000024101-mRNA-1 5066 1912 5215 5565 5324 2089 4338 2576 6881 5320 7644 4165 12622
BPAG_0000024201-mRNA-1 1303 498 1342 1399 2403 1141 1319 866 2789 1790 1780 1097 559
BPAG_0000024301-mRNA-1 715 327 1188 752 981 559 644 513 1802 1005 1804 972 982
BPAG_0000024501-mRNA-1 29 16 40 40 37 26 22 24 23 9 56 28 31
BPAG_0000024601-mRNA-1 95 41 229 170 119 71 123 79 223 166 282 193 127
BPAG_0000024701-mRNA-1 3429 2914 7426 2843 13960 13655 2650 3958 9363 2557 9667 2767 4787
BPAG_0000024801-mRNA-1 43 22 53 55 118 30 52 16 50 55 234 208 181
BPAG_0000024901-mRNA-1 28 7 23 18 13 6 7 6 16 11 64 68 51
BPAG_0000025001-mRNA-1 28 7 25 29 38 11 17 10 48 26 243 179 75
BPAG_0000025101-mRNA-1 1489 888 2093 1445 4223 2748 1366 1190 2669 1387 4234 2706 1450
BPAG_0000025301-mRNA-1 370 201 376 203 793 671 201 188 904 505 951 491 333
BPAG_0000025401-mRNA-1 843 369 872 721 1070 513 844 528 1190 804 1235 634 391
BPAG_0000025501-mRNA-1 13731 35514 40954 13184 17145 29108 11666 23813 37894 7884 8203 1860 3783
BPAG_0000025601-mRNA-1 1207 794 1781 1131 1445 1162 805 903 2497 949 2584 1095 1533
BPAG_0000025701-mRNA-1 610 419 1106 750 891 527 650 570 1241 651 1262 655 598
BPAG_0000025901-mRNA-1 1478 817 1638 1640 1801 809 1223 934 1522 945 1834 1090 830
BPAG_0000026101-mRNA-1 762 530 1498 1051 1587 892 1089 944 1458 824 1605 805 445
BPAG_0000026201-mRNA-1 598 267 766 562 1280 617 399 270 335 245 539 623 157
BPAG_0000026401-mRNA-1 3333 1480 3721 3631 4801 2211 4090 2495 5717 3925 4855 3340 2442
BPAG_0000026501-mRNA-1 3123 1186 4334 3917 18331 8430 2909 1710 2523 1740 2353 1703 1002
BPAG_0000026601-mRNA-1 910 482 1474 1233 1312 973 1097 766 1595 1011 1615 997 580
BPAG_0000026701-mRNA-1 901 559 1303 789 1159 780 851 681 3679 2804 2248 1309 891
BPAG_0000026801-mRNA-1 3219 1572 2314 2414 2800 1332 2049 1282 3637 2179 3015 1602 1723
BPAG_0000026901-mRNA-1 3808 1765 3294 3169 3788 1957 2801 1665 5765 3814 3869 2341 4443
BPAG_0000027001-mRNA-1 3429 1048 1658 1833 2411 1157 1708 942 1149 724 2745 1998 1549
BPAG_0000027101-mRNA-1 1811 1321 3416 1611 1798 2026 1207 1512 2632 957 5369 2920 2687
BPAG_0000027201-mRNA-1 2088 871 1142 1181 453 153 1434 934 2494 1250 663 414 194
BPAG_0000027301-mRNA-1 1691 587 1330 1373 2020 948 1452 836 3042 1865 2269 1431 2446
BPAG_0000027401-mRNA-1 2968 1830 2467 2362 2166 1201 1433 1098 2237 1246 2425 1325 963
BPAG_0000027501-mRNA-1 442 230 510 413 707 372 453 329 1122 789 1398 907 515
BPAG_0000027601-mRNA-1 754 176 385 474 512 252 397 163 463 327 709 705 401
BPAG_0000027701-mRNA-1 745 467 725 592 310 249 436 348 344 149 735 484 127
BPAG_0000027801-mRNA-1 31 16 26 25 6 8 7 15 30 19 63 38 8
BPAG_0000028001-mRNA-1 80 29 58 75 80 36 46 37 58 28 140 95 3
BPAG_0000028101-mRNA-1 17 7 7 6 80 53 10 3 5 3 126 154 0
BPAG_0000028201-mRNA-1 262 454 685 198 180 260 188 355 723 242 510 159 348
BPAG_0000028301-mRNA-1 49 75 83 17 22 55 25 53 101 50 90 20 68
BPAG_0000028401-mRNA-1 473 339 440 191 248 208 205 268 461 216 439 142 191
BPAG_0000028501-mRNA-1 1842 974 2025 1501 2169 1423 1841 1259 4969 2570 2989 944 1572
BPAG_0000028601-mRNA-1 5061 2291 2396 2424 1730 964 2272 1461 3012 1918 4817 2766 1946
BPAG_0000028701-mRNA-1 37 38 61 23 26 23 21 40 47 25 87 50 23
BPAG_0000028901-mRNA-1 268 96 266 188 5650 3203 198 105 77 44 355 614 17
BPAG_0000029001-mRNA-1 178 67 506 287 146 78 326 168 448 244 572 484 207
BPAG_0000029101-mRNA-1 72 94 422 134 34 61 70 119 294 84 443 134 179
BPAG_0000029201-mRNA-1 11 75 320 9 12 53 6 113 190 13 336 38 117
BPAG_0000029301-mRNA-1 16 92 351 10 34 75 3 94 237 1 341 13 136
BPAG_0000029401-mRNA-1 113 125 440 56 452 262 35 142 238 9 364 36 153
BPAG_0000029501-mRNA-1 2790 1093 2694 2686 759 293 1621 973 637 478 805 543 102
BPAG_0000029601-mRNA-1 9683 15879 5094 2551 3118 3525 2158 2837 7205 2838 1447 360 1675
BPAG_0000029701-mRNA-1 361 2094 491 91 145 332 83 235 1163 321 212 32 331
BPAG_0000029801-mRNA-1 1176 451 519 473 444 249 402 265 529 338 1491 1074 826
BPAG_0000029901-mRNA-1 1582 857 1570 1292 1667 809 1233 897 3713 2418 3215 1682 1626
BPAG_0000030001-mRNA-1 2256 881 6014 4807 13690 6657 3819 2637 2689 1761 1800 1488 779
BPAG_0000030101-mRNA-1 1898 871 2219 1704 2353 1279 1792 1204 4158 2817 3547 2051 1968
BPAG_0000030201-mRNA-1 823 290 890 1024 986 500 725 438 1007 697 1481 908 788
BPAG_0000030301-mRNA-1 701 234 723 805 1139 460 716 428 695 479 1347 980 613
BPAG_0000030401-mRNA-1 1170 544 1114 971 1322 659 985 552 2140 1358 2227 1313 1565
BPAG_0000030501-mRNA-1 5611 2306 6746 6116 8557 3682 4893 3062 6783 4917 6329 3697 6422
BPAG_0000030601-mRNA-1 1431 951 2059 1991 2303 1200 1450 1038 1644 1047 1441 829 891
BPAG_0000030701-mRNA-1 770 401 971 764 868 565 658 561 1672 831 2220 972 879
BPAG_0000030801-mRNA-1 2018 711 1280 1416 1501 678 920 551 2009 1455 3275 1717 1686
BPAG_0000030901-mRNA-1 2120 1967 3909 1418 1729 2542 1120 1987 4496 1144 6598 2238 3055
BPAG_0000031001-mRNA-1 808 473 1231 917 1371 727 982 645 2358 1590 2271 1154 837
BPAG_0000031101-mRNA-1 180 188 165 191 196 134 128 125 134 60 54 27 48
BPAG_0000031201-mRNA-1 2670 1195 2375 2101 2720 1342 2068 1362 3782 2549 4445 2464 2145
BPAG_0000031301-mRNA-1 93 58 120 91 121 74 151 113 163 96 301 215 275
BPAG_0000031401-mRNA-1 30 22 14 7 9 6 10 19 4 4 10 9 26
BPAG_0000031601-mRNA-1 469 140 364 326 402 201 279 164 203 160 300 194 144
BPAG_0000031701-mRNA-1 818 1165 2691 637 687 1591 527 1326 1747 420 2439 593 904
